"id","code","name","group_id:id","reconcile","account_type","tag_ids:name"
"7_co_com_puc_172099","172099","Deterioro Costos De Explotación Y Desarrollo","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_173000","173000","Cargos Por Corrección Monetaria Diferida",,0,"off_balance",
"7_co_com_puc_173005","173005","Cargos Por Corrección Monetaria Diferida","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_173095","173095","Otros Cargos Por Corrección Monetaria Diferida","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_173099","173099","Deterioro Cargos Por Corrección Monetaria Diferida","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_179800","179800","Amortización Acumulada",,0,"off_balance",
"7_co_com_puc_179805","179805","Costos De Exploración Por Amortizar","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_179810","179810","Costos De Explotación Y Desarrollo","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_179895","179895","Otra Amortización Acumulada","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_179899","179899","Deterioro Otra Amortización Acumulada","group_1_7_fin_noc",0,"asset_current","1008_1317_N"
"7_co_com_puc_180000","180000","Otros Activos",,0,"off_balance",
"7_co_com_puc_180500","180500","Bienes De Arte Y Cultura",,0,"off_balance",
"7_co_com_puc_180505","180505","Obras De Arte","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_180510","180510","Bibliotecas","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_180595","180595","Otros Bienes De Arte Y Cultura","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_180599","180599","Deterioro Bienes De Arte Y Cultura","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189500","189500","Diversos",,0,"off_balance",
"7_co_com_puc_189505","189505","Máquinas Porteadoras","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189510","189510","Bienes Entregados En Comodato","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189515","189515","Amortización Acumulada De Bienes Entregados En Comodato (Cr)","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189520","189520","Bienes Recibidos En Pago","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189525","189525","Derechos Sucesorales","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189530","189530","Estampillas","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189595","189595","Otros Diversos","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189599","189599","Deterioro Diversos","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189900","189900","Provisiones",,0,"off_balance",
"7_co_com_puc_189905","189905","Bienes De Arte Y Cultura","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_189995","189995","Diversas Provisiones","group_1_9_art_cul",0,"asset_current","1008_1317_N"
"7_co_com_puc_190000","190000","Valorizaciones",,0,"off_balance",
"7_co_com_puc_190500","190500","De Inversiones",,0,"off_balance",
"7_co_com_puc_190505","190505","Acciones","group_1_2_inv_cor",0,"asset_current",
"7_co_com_puc_190510","190510","Cuotas O Partes De Interés Social","group_1_2_inv_cor",0,"asset_current",
"7_co_com_puc_190515","190515","Derechos Fiduciarios","group_1_2_inv_cor",0,"asset_current",
"7_co_com_puc_190595","190595","Otras Valorizaciones De Acciones","group_1_2_inv_cor",0,"asset_current",
"7_co_com_puc_190599","190599","Otras Valorizaciones De Acciones","group_1_2_inv_cor",0,"asset_current",
"7_co_com_puc_191000","191000"," Plant and Equipment",,0,"off_balance",
"7_co_com_puc_191004","191004","Terrenos","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191006","191006","Materiales Proyectos Petroleros","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191008","191008","Construcciones Y Edificaciones","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191012","191012","Maquinaria Y Equipo","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191016","191016","Equipo De Oficina","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191020","191020","Equipo De Computación Y Comunicación","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191024","191024","Equipo Médico-Científico","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191028","191028","Equipo De Hoteles Y Restaurantes","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191032","191032","Flota Y Equipo De Transporte","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191036","191036","Flota Y Equipo Fluvial Y/O Marítimo","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191040","191040","Flota Y Equipo Aéreo","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191044","191044","Flota Y Equipo Férreo","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191048","191048"," Plants and Networks","group_1_5_pro_des",0,"asset_current",
"7_co_com_puc_191052","191052","Armamento De Vigilancia","group_1_5_pro_des",0,"asset_current",
