id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
niif_fin_261515,261515,Seguros De Pensiones Obligatorias,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_261520,261520,Seguros De Pensiones Voluntarias,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_261525,261525,Seguro Educativo,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_261530,261530,Parte Reaseguradores,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_261595,261595,Otra Reserva Matemática,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2620,2620,Reserva Seguro De Vida De Ahorro Con Participación,,0,off_balance,chart_template_niif_financiero,
niif_fin_262005,262005,Reserva Seguro De Vida De Ahorro Con Participación,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_262095,262095,Otra Reserva Seguro De Vida De Ahorro Con Participación,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2625,2625,Reserva De Insuficiencia De Activos,,0,off_balance,chart_template_niif_financiero,
niif_fin_262505,262505,Reserva De Insuficiencia De Activos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_262595,262595,Otra Reserva De Insuficiencia De Activos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2630,2630,Depósito De Reserva A Reaseguradores Del Exterior,,0,off_balance,chart_template_niif_financiero,
niif_fin_263005,263005,A Cargo De Reaseguradores,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263010,263010,A Cargo De La Compañía,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263095,263095,Otro Depósito De Reserva A Reaseguradores Del Exterior,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2635,2635,Técnica De Títulos Vigentes,,0,off_balance,chart_template_niif_financiero,
niif_fin_263505,263505,Con Cuotas Al Día,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263510,263510,Con Cuotas En Mora,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263515,263515,Desviaciones,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263520,263520,Cupones Por Pagar,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263525,263525,Intereses Y Sorteos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263530,263530,Planes En Uvr,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_263595,263595,Otra Técnica De Títulos Vigentes Otros Derechos Estipulados,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2640,2640,Reserva Desviación De Siniestralidad,,0,off_balance,chart_template_niif_financiero,
niif_fin_264005,264005,Seguro De Terremoto,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_264010,264010,Seguro De Crédito A La Exportación,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_264015,264015,Riesgos Laborales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_264095,264095,Otra Reserva Desviación De Siniestralidad,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2645,2645,Reserva De Riesgos Catastróficos,,0,off_balance,chart_template_niif_financiero,
niif_fin_264505,264505,Reserva De Riesgos Catastróficos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_264595,264595,Otra Reserva De Riesgos Catastróficos,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_2650,2650,Reserva Para Siniestros Avisados,,0,off_balance,chart_template_niif_financiero,
niif_fin_265005,265005,Seguros De Daños,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265010,265010,Seguros De Personas,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
niif_fin_265015,265015,Seguros Previsionales,group_fin_2_4_imp_cor,0,liability_current,chart_template_niif_financiero,aat_1009_2206_N
