"id","name","applicability","country_id/id"
"aat_1001_5056_O","1001:5056:O","accounts","base.co"
"aat_1001_5056_P","1001:5056:P","accounts","base.co"
"aat_1001_5056_Q","1001:5056:Q","accounts","base.co"
"aat_1001_5056_R","1001:5056:R","accounts","base.co"
"aat_1003_1301_M","1003:1301:M","accounts","base.co"
"aat_1003_1301_N","1003:1301:N","accounts","base.co"
"aat_1003_1302_M","1003:1302:M","accounts","base.co"
"aat_1003_1302_N","1003:1302:N","accounts","base.co"
"aat_1003_1303_M","1003:1303:M","accounts","base.co"
"aat_1003_1303_N","1003:1303:N","accounts","base.co"
"aat_1003_1304_M","1003:1304:M","accounts","base.co"
"aat_1003_1304_N","1003:1304:N","accounts","base.co"
"aat_1003_1305_M","1003:1305:M","accounts","base.co"
"aat_1003_1305_N","1003:1305:N","accounts","base.co"
"aat_1003_1306_M","1003:1306:M","accounts","base.co"
"aat_1003_1306_N","1003:1306:N","accounts","base.co"
"aat_1003_1307_M","1003:1307:M","accounts","base.co"
"aat_1003_1307_N","1003:1307:N","accounts","base.co"
"aat_1007_4001_J","1007:4001:J","accounts","base.co"
"aat_1007_4001_K","1007:4001:K","accounts","base.co"
"aat_1007_4002_J","1007:4002:J","accounts","base.co"
"aat_1007_4002_K","1007:4002:K","accounts","base.co"
"aat_1007_4003_J","1007:4003:J","accounts","base.co"
"aat_1007_4003_K","1007:4003:K","accounts","base.co"
"aat_1007_4004_J","1007:4004:J","accounts","base.co"
"aat_1007_4004_K","1007:4004:K","accounts","base.co"
"aat_1007_4005_J","1007:4005:J","accounts","base.co"
"aat_1007_4005_K","1007:4005:K","accounts","base.co"
"aat_1007_4006_J","1007:4006:J","accounts","base.co"
"aat_1007_4006_K","1007:4006:K","accounts","base.co"
"aat_1007_4007_J","1007:4007:J","accounts","base.co"
"aat_1007_4007_K","1007:4007:K","accounts","base.co"
"aat_1007_4008_J","1007:4008:J","accounts","base.co"
"aat_1007_4008_K","1007:4008:K","accounts","base.co"
"aat_1007_4009_J","1007:4009:J","accounts","base.co"
"aat_1007_4009_K","1007:4009:K","accounts","base.co"
"aat_1007_4011_J","1007:4011:J","accounts","base.co"
"aat_1007_4011_K","1007:4011:K","accounts","base.co"
"aat_1007_4012_J","1007:4012:J","accounts","base.co"
"aat_1007_4012_K","1007:4012:K","accounts","base.co"
"aat_1007_4013_J","1007:4013:J","accounts","base.co"
"aat_1007_4013_K","1007:4013:K","accounts","base.co"
"aat_1008_1315_N","1008:1315:N","accounts","base.co"
"aat_1008_1316_N","1008:1316:N","accounts","base.co"
"aat_1008_1317_N","1008:1317:N","accounts","base.co"
"aat_1008_1318_N","1008:1318:N","accounts","base.co"
"aat_1009_2201_N","1009:2201:N","accounts","base.co"
"aat_1009_2202_N","1009:2202:N","accounts","base.co"
"aat_1009_2203_N","1009:2203:N","accounts","base.co"
"aat_1009_2204_N","1009:2204:N","accounts","base.co"
"aat_1009_2205_N","1009:2205:N","accounts","base.co"
"aat_1009_2207_N","1009:2207:N","accounts","base.co"
"aat_1009_2208_N","1009:2208:N","accounts","base.co"
"aat_1009_2209_N","1009:2209:N","accounts","base.co"
"aat_1009_2206_N","1009:2206:N","accounts","base.co"
"aat_1011_9200_B","1011:9200:B","accounts","base.co"
"aat_1011_9201_B","1011:9201:B","accounts","base.co"
"aat_1011_9202_B","1011:9202:B","accounts","base.co"
"aat_1011_9203_B","1011:9203:B","accounts","base.co"
"aat_1011_9204_B","1011:9204:B","accounts","base.co"
"aat_1011_9205_B","1011:9205:B","accounts","base.co"
"aat_1011_9206_B","1011:9206:B","accounts","base.co"
"aat_1011_9207_B","1011:9207:B","accounts","base.co"
"aat_1012_1200_K","1012:1200:K","accounts","base.co"
"aat_1012_1201_K","1012:1201:K","accounts","base.co"
"aat_1012_1202_K","1012:1202:K","accounts","base.co"
"aat_1012_1203_K","1012:1203:K","accounts","base.co"
"aat_1012_1204_K","1012:1204:K","accounts","base.co"
"aat_1012_1205_K","1012:1205:K","accounts","base.co"
"aat_1012_1110_K","1012:1110:K","accounts","base.co"
"aat_1012_1115_K","1012:1115:K","accounts","base.co"
"aat_1005_1005_I","1005:1005:I","accounts","base.co"
"aat_1005_1005_J","1005:1005:J","accounts","base.co"
"aat_1006_1006_I","1006:1006:I","accounts","base.co"
"aat_1006_1006_J","1006:1006:J","accounts","base.co"
"aat_1006_1006_K","1006:1006:K","accounts","base.co"
"aat_2276_2276_K","2276:2276:K","accounts","base.co"
"aat_2276_2276_L","2276:2276:L","accounts","base.co"
"aat_2276_2276_M","2276:2276:M","accounts","base.co"
"aat_2276_2276_N","2276:2276:N","accounts","base.co"
"aat_2276_2276_O","2276:2276:O","accounts","base.co"
"aat_2276_2276_P","2276:2276:P","accounts","base.co"
"aat_2276_2276_Q","2276:2276:Q","accounts","base.co"
"aat_2276_2276_R","2276:2276:R","accounts","base.co"
"aat_2276_2276_S","2276:2276:S","accounts","base.co"
"aat_2276_2276_T","2276:2276:T","accounts","base.co"
"aat_2276_2276_U","2276:2276:U","accounts","base.co"
"aat_2276_2276_V","2276:2276:V","accounts","base.co"
"aat_2276_2276_W","2276:2276:W","accounts","base.co"
"aat_2276_2276_X","2276:2276:X","accounts","base.co"
"aat_2276_2276_Y","2276:2276:Y","accounts","base.co"
"aat_2276_2276_Z","2276:2276:Z","accounts","base.co"
"aat_2276_2276_AA","2276:2276:AA","accounts","base.co"
