id,code,name,group_id:id,reconcile,account_type,chart_template_id:id,tag_ids:id
puc_com_126095,126095,Otras Cuentas En Participación,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_126099,126099,Deterioro Cuentas En Participación,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1295,1295,Otras Inversiones,,0,off_balance,chart_template_comercial,
puc_com_129505,129505,Aportes En Cooperativas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129510,129510,Derechos En Clubes Sociales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129515,129515,Acciones O Derechos En Clubes Deportivos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129520,129520,Bonos En Colegios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129595,129595,Diversas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129599,129599,Deterioro,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_1299,1299,Provisiones,,0,off_balance,chart_template_comercial,
puc_com_129905,129905,Acciones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129910,129910,Cuotas O Partes De Interés Social,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129915,129915,Bonos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129920,129920,Cédulas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129925,129925,Certificados,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129930,129930,Papeles Comerciales,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129935,129935,Títulos,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129940,129940,Aceptaciones Bancarias O Financieras,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129945,129945,Derechos Fiduciarios,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129950,129950,Derechos De Recompra De Inversiones Negociadas,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129955,129955,Obligatorias,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129960,129960,Cuentas En Participación,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129995,129995,Otras Inversiones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_129999,129999,Deterioro Inversiones,group_fin_1_2_inv_cor,0,asset_current,chart_template_comercial,aat_1012_1205_K
puc_com_13,13,Deudores,,0,off_balance,chart_template_comercial,
puc_com_1305,1305,Clientes,,0,off_balance,chart_template_comercial,
puc_com_130505,130505,Nacionales,group_fin_1_3_cta_cob,1,asset_receivable,chart_template_comercial,aat_1008_1315_N
puc_com_130510,130510,Del Exterior,group_fin_1_3_cta_cob,1,asset_receivable,chart_template_comercial,aat_1008_1315_N
puc_com_130515,130515,Deudores Del Sistema,group_fin_1_3_cta_cob,1,asset_receivable,chart_template_comercial,aat_1008_1315_N
puc_com_130595,130595,Otros Clientes,group_fin_1_3_cta_cob,0,asset_current,chart_template_comercial,aat_1008_1315_N
puc_com_1310,1310,Cuentas Corrientes Comerciales,,0,off_balance,chart_template_comercial,
puc_com_131005,131005,Casa Matriz,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_131010,131010,Compañías Vinculadas,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_131015,131015,Accionistas O Socios,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_131020,131020,Particulares,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_131095,131095,Otras Cuentas Corrientes Comerciales,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_131099,131099,Deterioro Cuentas Corrientes Comerciales,group_fin_1_3_cta_cob,1,asset_current,chart_template_comercial,aat_1008_1316_N
puc_com_1315,1315,Cuentas Por Cobrar A Casa Matriz,,0,off_balance,chart_template_comercial,
