"id","name","ei_code","ei_big_contribuitor","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
,,,,"l10n_co_tax_42",,,
,,,,"l10n_co_tax_43",,,
,,,,"l10n_co_tax_44",,,
,,,,"l10n_co_tax_45",,,
,,,,"l10n_co_tax_46",,,
,,,,"l10n_co_tax_47",,,
,,,,"l10n_co_tax_48",,,
,,,,"l10n_co_tax_49",,,
,,,,"l10n_co_tax_50",,,
,,,,"l10n_co_tax_51",,,
,,,,"l10n_co_tax_52",,,
,,,,"co_tax_rteica_1_104gt",,,
,,,,"co_tax_rteica_1_104lt",,,
,,,,"co_tax_rteica_1_38gt",,,
,,,,"co_tax_rteica_1_38lt",,,
