id,city_id:l10n_co_edi_code,code,type,name
zip_co_05_5847,5030,55847,rural,055847 - Cabecera Municipal- Camilo C-  El Cedro-  El Morro-  El Nudillo-  Guaimaral-  Gualí-  Jonas-  La Cima-  La Clarita 1-  La Clarita 2-  La Delgadita-  La Estación-  La Ferrena-  La Mani del Cardal-  Las Peñas-  Mal Abrigo-  Maní del Cardal-  Minas-  Nechí-
zip_co_05_5848,5030,55848,rural,055848 - El Recreo- Pacmichal-  Palenque-  Pueblito de Los Sánchez
zip_co_05_2840,5031,52840,urban,052840 - Cabecera Municipal- El Río-  El Taparo-  La Urria
zip_co_05_2847,5031,52847,rural,052847 - Arenas Blancas- Castillo-  Cestillal-  Crucero-  Cruces-  El Cañal-  El Dorado-  El Jardín-  El Lagarto-  El Pescado-  El Retiro-  El Tigrillo-  El Zafiro-  La Areiza-  La Clara-  La Gardenia-  La Manguita-  La Margarita-  La Picardía-  La Vetilla-  Las Á
zip_co_05_2848,5031,52848,rural,052848 - Boquerón- Caracolí-  La María-  Manzanillo-  Montebello-  Monterojo
zip_co_05_6060,5034,56060,urban,056060 - 23 de Mayo- Alameda- Avenida Medellín- Brisas de San Juan- Ciudad Corid- El Centro- El Hoyo- La Aguada- La Cuchilla- María Auxiliadora- Plaza de Ferias- Río San Juan- San Francisco- San Luis- San Pedro- Sector Ferromesa- Sector La Cárcel- Sector Troncal d
zip_co_05_6067,5034,56067,rural,056067 - Las Mercedes
zip_co_05_6068,5034,56068,rural,056068 - Sin Informacion de Veredas
zip_co_05_5830,5036,55830,urban,055830 - Sin Informacion de Veredas
zip_co_05_5837,5036,55837,rural,055837 - Cabecera Municipal- Cascajala-  Chuscal-  Cienaguita-  El Barro-  El Cano-  El Guayabo-  Guamal-  La Clara-  La Florida-  La Horcona-  La Valeria-  Montañita-  Palo Blanco-  Potrerito-  Promisión-  Pueblito-  Pueblo Viejo-  Pueblo Viejo-  San Isidro-  San
zip_co_05_1810,5038,51810,urban,051810 - Batea Seca- Cabecera Municipal-  Los Pinos-  Pajarito Arriba
zip_co_05_1817,5038,51817,rural,051817 - Alto Rin- Chocho-  Chocho Loma-  Chocho Río-  El Oasi-  El Socorro-  Guajira Abajo-  Guajira Arriba-  La Trinida-  Los Pantanos-  Montañita-  Pajarito Abajo-  Palmas-  Quiebra-  Quiebra Abajo-  Quiebra Arriba-  San Antonio-  Tanche Viejo-  Tenche Algodón
zip_co_05_1818,5038,51818,rural,051818 - Dolores- El Guasimo-  El Respaldo-  La Culebra-  La Estrella-  La Quinta-  La Síria-  La Teresita-  Maldonado-  Morelia-  Santa Ana
zip_co_05_2850,5040,52850,urban,052850 - Sin Informacion de Veredas
zip_co_05_2857,5040,52857,rural,052857 - Bejuquillo- Bellavista-  Bocas de Cana-  Bolivar-  Brisas del Nechi-  Cabecera Municipal-  Cana Medio-  Capotal-  Chagualito-  Chagualo Abajo-  Chagualo Arriba-  Chaquiral-  Concha Abajo-  Concha Arriba-  Concha Media-  Cruces-  Doradas Bajas-  El Banco-
zip_co_05_7050,5042,57050,urban,057050 - Sin Informacion de Veredas
zip_co_05_7057,5042,57057,rural,057057 - Alto del Obispo- Cativo-  Chaparral-  Ciruelar-  Coloradas-  Cordillera-  El Balso-  El Carmen-  El Espinal-  El Guasimo-  El Guayabo-  El Hato-  El Madero-  El Pedregal-  El Pencal-  El Pescador-  El Rodeo-  El Rodeo-  El Tunel-  Fatima-  Guasabra-  Kilo
zip_co_05_7058,5042,57058,rural,057058 - El Chorrillo- El Jaque-  El Plan-  Guaimaral-  Guasimal-  La Tolda-  Obregon-  Sabanas
zip_co_05_6850,5044,56850,urban,056850 - Sin Informacion de Veredas
zip_co_05_6857,5044,56857,rural,056857 - Bosque Naranjo- Cabecera Municipal-  Chuscalita-  Cordillera-  El Encanto-  El Pedrero-  Higuina-  La Cascajala-  La Cejita-  La Ciénaga-  La Noque-  La Quiebra-  La Salazar-  La Soledad-  Llano-  Mata-  Moraditas-  Nudillo-  Quirimara Placitas-  Quirimar
zip_co_05_6858,5044,56858,rural,056858 - Lomitas
zip_co_05_7840,5045,57840,urban,057840 - Sin Informacion de Veredas
zip_co_05_7841,5045,57841,urban,057841 - Sin Informacion de Veredas
zip_co_05_7847,5045,57847,rural,057847 - Alto Bonito- Arenas Altas-  Arenas Baja-  Bajo del Oso-  Buena Vieja-  Buenos Aires-  Cabecera Municipal-  Casa Verde-  Churidó Medio-  Churidó Pueblo-  Churidó Puente-  Churidó Sinai-  El Cuchillo-  El Gas-  El Guaro-  El Guineo-  El Guineo Alto-  El Osi
zip_co_05_7820,5051,57820,urban,057820 - Cabecera Municipal- Guaimaro
zip_co_05_7827,5051,57827,rural,057827 - Buenos Aires- Garrapata-  La Toyosa-  Nueva Florida-  Parcelas-  Plan Parejo-  Pueblo Chino
zip_co_05_7828,5051,57828,rural,057828 - Calabozo- El Guadal Abajo-  El Guadal del Medio-  El Inglesito-  La Arenosa-  La Caridad-  La Mesa-  La Mesita-  Las Lanas-  Pelayo-  San José-  Trementino-  Vélez
zip_co_05_7829,5051,57829,rural,057829 - Boca Al Revés- Boca Tapada-  Cajones-  Campanito-  Candelaria-  El Arquino-  El Bonquito-  El Carmelo-  El Caucho-  El Guadal-  El Tigre-  El Volcán-  El Volcancito-  El Yeso-  Halandita-  Holanda-  La Trinidad-  Las Pachacas-  Las Patillas-  Las Platas-
zip_co_05_4830,5055,54830,urban,054830 - Sin Informacion de Veredas
zip_co_05_4837,5055,54837,rural,054837 - Arenillal- Argelia-  Balsora-  Buenavista-  Buenos Aires-  Camberry-  Caunzal-  Claras-  El Bosque-  El Bujio-  El Cabuyo-  El Diamante-  El Dragal-  El Fresnito-  El Guadual-  El Llano-  El Oro-  El Peru-  El Pital-  El Plan-  El Recreo-  El Roble-  El R
