id,name,,000000,accounts/external_id, - ,name,group_id:id,reconcile,user_type_id:id,chart_template_id:id,tag_ids:id
,,121015,bdgtry_fin_121015,niif_fin_121015,121015,Compa��as De Financiamiento ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121020,bdgtry_fin_121020,niif_fin_121020,121020,Banco De La Rep�blica,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121025,bdgtry_fin_121025,niif_fin_121025,121025,Tesorer�a General De La Naci�n,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121030,bdgtry_fin_121030,niif_fin_121030,121030,Entidades Del Sector P�blico,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121035,bdgtry_fin_121035,niif_fin_121035,121035,Residentes Del Exterior,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121095,bdgtry_fin_121095,niif_fin_121095,121095,Otras Entidades Financieras,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1215,1215 - Operaciones De Reporto O Repo,121500,bdgtry_fin_1215,niif_fin_1215,1215,Operaciones De Reporto O Repo,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,121505,bdgtry_fin_121505,niif_fin_121505,121505,Compromisos De Transferencia En Operaciones De Repo Abierto,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121510,bdgtry_fin_121510,niif_fin_121510,121510,Compromisos De Transferencia En Operaciones De Repo Cerrado,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121515,bdgtry_fin_121515,niif_fin_121515,121515,Cupones Por Recibir De Valores En Operaciones Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121520,bdgtry_fin_121520,niif_fin_121520,121520,Cuentas Por Cobrar Por Incumplimiento O Terminaci�n Anticipada En Operaciones Repo ,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121525,bdgtry_fin_121525,niif_fin_121525,121525,Llamado Al Margen Entregado En Dinero En Operaciones Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,121595,bdgtry_fin_121595,niif_fin_121595,121595,Otras Operaciones De Reporto O Repo,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1220,1220 - Operaciones Simult�neas,122000,bdgtry_fin_1220,niif_fin_1220,1220,Operaciones Simult�neas,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,122005,bdgtry_fin_122005,niif_fin_122005,122005,Compromisos De Transferencia De Inversiones En Operaciones Simult�neas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122010,bdgtry_fin_122010,niif_fin_122010,122010,Cupones Por Recibir De Valores En Operaciones Simult�neas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122015,bdgtry_fin_122015,niif_fin_122015,122015,Cuentas Por Cobrar Por Incumplimiento O Terminaci�n Anticipada En Operaciones Simult�neas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122020,bdgtry_fin_122020,niif_fin_122020,122020,Llamado Al Margen Entregado En Dinero En Operaciones Simult�neas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122095,bdgtry_fin_122095,niif_fin_122095,122095,Otras Operaciones Simult�neas,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
bdgtry_fin_1225,1225 - Operaciones De Transferencia Temporal De Valores,122500,bdgtry_fin_1225,niif_fin_1225,1225,Operaciones De Transferencia Temporal De Valores,,0,account.data_account_off_sheet,chart_template_niif_financiero,
,,122505,bdgtry_fin_122505,niif_fin_122505,122505,Compromisos Originados En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122510,bdgtry_fin_122510,niif_fin_122510,122510,Rendimientos Por Cobrar De Compromisos En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122515,bdgtry_fin_122515,niif_fin_122515,122515,Cupones Por Recibir De Valores En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122520,bdgtry_fin_122520,niif_fin_122520,122520,Cuentas Por Cobrar Por Incumplimiento O Terminaci�n Anticipada En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122525,bdgtry_fin_122525,niif_fin_122525,122525,Llamado Al Margen En Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
,,122595,bdgtry_fin_122595,niif_fin_122595,122595,Otras Operaciones De Transferencia Temporal De Valores,group_fin_1_2_inv_cor,0,account.data_account_type_current_assets,chart_template_niif_financiero,aat_1012_1204_K
