id,name,applicability
aat_1009_2205_N,1009:2205:N,accounts
aat_1009_2207_N,1009:2207:N,accounts
aat_1009_2208_N,1009:2208:N,accounts
aat_1009_2209_N,1009:2209:N,accounts
aat_1009_2206_N,1009:2206:N,accounts
aat_1011_9200_B,1011:9200:B,accounts
aat_1011_9201_B,1011:9201:B,accounts
aat_1011_9202_B,1011:9202:B,accounts
aat_1011_9203_B,1011:9203:B,accounts
aat_1011_9204_B,1011:9204:B,accounts
aat_1011_9205_B,1011:9205:B,accounts
aat_1011_9206_B,1011:9206:B,accounts
aat_1011_9207_B,1011:9207:B,accounts
aat_1012_1200_K,1012:1200:K,accounts
aat_1012_1201_K,1012:1201:K,accounts
aat_1012_1202_K,1012:1202:K,accounts
aat_1012_1203_K,1012:1203:K,accounts
aat_1012_1204_K,1012:1204:K,accounts
aat_1012_1205_K,1012:1205:K,accounts
aat_1012_1110_K,1012:1110:K,accounts
aat_1012_1115_K,1012:1115:K,accounts
aat_1005_1005_I,1005:1005:I,accounts
aat_1005_1005_J,1005:1005:J,accounts
aat_1006_1006_I,1006:1006:I,accounts
aat_1006_1006_J,1006:1006:J,accounts
aat_1006_1006_K,1006:1006:K,accounts
aat_2276_2276_K,2276:2276:K,accounts
aat_2276_2276_L,2276:2276:L,accounts
aat_2276_2276_M,2276:2276:M,accounts
aat_2276_2276_N,2276:2276:N,accounts
aat_2276_2276_O,2276:2276:O,accounts
aat_2276_2276_P,2276:2276:P,accounts
aat_2276_2276_Q,2276:2276:Q,accounts
aat_2276_2276_R,2276:2276:R,accounts
aat_2276_2276_S,2276:2276:S,accounts
aat_2276_2276_T,2276:2276:T,accounts
aat_2276_2276_U,2276:2276:U,accounts
aat_2276_2276_V,2276:2276:V,accounts
aat_2276_2276_W,2276:2276:W,accounts
aat_2276_2276_X,2276:2276:X,accounts
aat_2276_2276_Y,2276:2276:Y,accounts
aat_2276_2276_Z,2276:2276:Z,accounts
aat_2276_2276_AA,2276:2276:AA,accounts
