id,name,description,chart_template_id:id,type_tax_use,amount,sequence,price_include,tax_group_id:id,invoice_repartition_line_ids/id,invoice_repartition_line_ids/repartition_type,invoice_repartition_line_ids/factor_percent,invoice_repartition_line_ids/account_id:id,refund_repartition_line_ids/id,refund_repartition_line_ids/repartition_type,refund_repartition_line_ids/factor_percent,refund_repartition_line_ids/account_id:id
,,,,,,,,,tax_tem_com_tax_iva_16gt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_16gt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_16lt_inc,[Iva 16%]<,[Iva16%],chart_template_comercial,purchase,16,35,TRUE,tax_group_iva_01,tax_tem_com_base_iva_16lt_inc,base,,,tax_tem_com_base_iva_16lt_inc_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_16lt_inc,tax,100,puc_com_240805,tax_tem_com_tax_iva_16lt_inc_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19gt,Iva 19%,Iva19%,chart_template_comercial,sale,19,36,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19gt,base,,,tax_tem_com_base_iva_19gt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19gt,tax,100,puc_com_240805,tax_tem_com_tax_iva_19gt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19sgt,Iva 19%s,Iva19%s,chart_template_comercial,sale,19,37,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19sgt,base,,,tax_tem_com_base_iva_19sgt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19sgt,tax,100,puc_com_240805,tax_tem_com_tax_iva_19sgt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19lt,Iva 19%<,Iva19%,chart_template_comercial,purchase,19,38,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19lt,base,,,tax_tem_com_base_iva_19lt_rfnd,base,,
,,,,,,,,,tax_tem_com_tax_iva_19lt,tax,100,puc_com_240805,tax_tem_com_tax_iva_19lt_rfnd,tax,100,puc_com_240805
tax_tem_com_iva_19slt,Iva 19%s<,Iva19%s,chart_template_comercial,purchase,19,39,FALSE,tax_group_iva_01,tax_tem_com_base_iva_19slt,base,,,tax_tem_com_base_iva_19slt_rfnd,base,,
