id,invoice_tax_id:id,repartition_type,factor_percent,account_id:id,refund_tax_id:id
tax_tem_com_tax_aurva_0_75gt_sl,tax_tem_com_aurva_0_75gt_sl,tax,100,puc_com_135517,
tax_tem_com_base_aurva_0_75gt_sl_rfnd,,base,,,tax_tem_com_aurva_0_75gt_sl
tax_tem_com_tax_aurva_0_75gt_sl_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_0_75gt_sl
tax_tem_com_base_aurva_16gt_bs,tax_tem_com_aurva_16gt_bs,base,,,
tax_tem_com_tax_aurva_16gt_bs,tax_tem_com_aurva_16gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_16gt_bs_rfnd,,base,,,tax_tem_com_aurva_16gt_bs
tax_tem_com_tax_aurva_16gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_16gt_bs
tax_tem_com_base_aurva_16gt_sl,tax_tem_com_aurva_16gt_sl,base,,,
tax_tem_com_tax_aurva_16gt_sl,tax_tem_com_aurva_16gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_16gt_sl_rfnd,,base,,,tax_tem_com_aurva_16gt_sl
tax_tem_com_tax_aurva_16gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_16gt_sl
tax_tem_com_base_aurva_19gt_bs,tax_tem_com_aurva_19gt_bs,base,,,
tax_tem_com_tax_aurva_19gt_bs,tax_tem_com_aurva_19gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_19gt_bs_rfnd,,base,,,tax_tem_com_aurva_19gt_bs
tax_tem_com_tax_aurva_19gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_19gt_bs
tax_tem_com_base_aurva_19gt_sl,tax_tem_com_aurva_19gt_sl,base,,,
tax_tem_com_tax_aurva_19gt_sl,tax_tem_com_aurva_19gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_19gt_sl_rfnd,,base,,,tax_tem_com_aurva_19gt_sl
tax_tem_com_tax_aurva_19gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_19gt_sl
tax_tem_com_base_aurva_2_4gt_bs,tax_tem_com_aurva_2_4gt_bs,base,,,
tax_tem_com_tax_aurva_2_4gt_bs,tax_tem_com_aurva_2_4gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_2_4gt_bs_rfnd,,base,,,tax_tem_com_aurva_2_4gt_bs
tax_tem_com_tax_aurva_2_4gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_2_4gt_bs
tax_tem_com_base_aurva_2_4gt_sl,tax_tem_com_aurva_2_4gt_sl,base,,,
tax_tem_com_tax_aurva_2_4gt_sl,tax_tem_com_aurva_2_4gt_sl,tax,100,puc_com_236560,
tax_tem_com_base_aurva_2_4gt_sl_rfnd,,base,,,tax_tem_com_aurva_2_4gt_sl
tax_tem_com_tax_aurva_2_4gt_sl_rfnd,,tax,100,puc_com_236560,tax_tem_com_aurva_2_4gt_sl
tax_tem_com_base_aurva_2_5gt_bs,tax_tem_com_aurva_2_5gt_bs,base,,,
tax_tem_com_tax_aurva_2_5gt_bs,tax_tem_com_aurva_2_5gt_bs,tax,100,puc_com_135517,
tax_tem_com_base_aurva_2_5gt_bs_rfnd,,base,,,tax_tem_com_aurva_2_5gt_bs
tax_tem_com_tax_aurva_2_5gt_bs_rfnd,,tax,100,puc_com_135517,tax_tem_com_aurva_2_5gt_bs
